Date,Open,High,Low,Close,Volume
27/03/2018,173.68,175.15,166.92,168.34,38962839
26/03/2018,168.07,173.1,166.44,172.77,36272617
23/03/2018,168.39,169.92,164.94,164.94,40248954
22/03/2018,170.0,172.68,168.6,168.845,41051076
21/03/2018,175.04,175.09,171.26,171.27,35247358
20/03/2018,175.24,176.8,174.94,175.24,19314039
19/03/2018,177.32,177.47,173.66,175.3,32804695
16/03/2018,178.65,179.12,177.62,178.02,36836456
15/03/2018,178.5,180.24,178.0701,178.65,22584565
14/03/2018,180.32,180.52,177.81,178.44,29075469
13/03/2018,182.59,183.5,179.24,179.97,31168404
12/03/2018,180.29,182.39,180.21,181.72,32055405
09/03/2018,177.96,180.0,177.39,179.98,31385134
08/03/2018,175.48,177.12,175.07,176.94,23163767
07/03/2018,174.94,175.85,174.27,175.03,31703462
06/03/2018,177.91,178.25,176.13,176.67,23788506
05/03/2018,175.21,177.74,174.52,176.82,28401366
02/03/2018,172.8,176.3,172.45,176.21,38453950
01/03/2018,178.54,179.775,172.66,175.0,48801970
28/02/2018,179.26,180.615,178.05,178.12,33604574
27/02/2018,179.1,180.48,178.16,178.39,38685165
26/02/2018,176.35,179.39,176.21,178.97,36886432
23/02/2018,173.67,175.65,173.54,175.555,33329232
22/02/2018,171.8,173.95,171.71,172.6,30504116
21/02/2018,172.83,174.12,171.01,171.07,35833514
20/02/2018,172.05,174.26,171.42,171.85,33531012
16/02/2018,172.36,174.82,171.77,172.43,39638793
15/02/2018,169.79,173.09,169.0,172.99,50609595
14/02/2018,163.045,167.54,162.88,167.37,39669178
13/02/2018,161.95,164.75,161.65,164.34,32104756
12/02/2018,158.5,163.89,157.51,162.71,60560145
09/02/2018,157.07,157.89,150.24,155.97,66723743
08/02/2018,160.29,161.0,155.03,155.32,49594129
07/02/2018,163.085,163.4,159.0685,159.54,50852130
06/02/2018,154.83,163.72,154.0,163.03,66625484
05/02/2018,159.1,163.88,156.0,157.49,66090446
02/02/2018,166.0,166.8,160.1,160.37,85436075
01/02/2018,167.165,168.62,166.76,167.78,38099665
31/01/2018,166.87,168.4417,166.5,167.43,30984099
30/01/2018,165.525,167.37,164.7,166.97,45137026
29/01/2018,170.16,170.16,167.07,167.96,48434424
26/01/2018,172.0,172.0,170.06,171.51,37121805
25/01/2018,174.505,174.95,170.53,171.11,39661804
24/01/2018,177.25,177.3,173.2,174.22,50562257
23/01/2018,177.3,179.44,176.82,177.04,31702531
22/01/2018,177.3,177.78,176.6016,177.0,26023683
19/01/2018,178.61,179.58,177.41,178.46,30827809
18/01/2018,179.37,180.1,178.25,179.26,30234512
17/01/2018,176.15,179.25,175.07,179.1,32752734
16/01/2018,177.9,179.39,176.14,176.19,29159005
12/01/2018,176.18,177.36,175.65,177.09,25039531
11/01/2018,174.59,175.4886,174.49,175.28,17523256
10/01/2018,173.16,174.3,173.0,174.29,23589129
09/01/2018,174.55,175.06,173.41,174.33,21262614
08/01/2018,174.35,175.61,173.93,174.35,20134092
05/01/2018,173.44,175.37,173.05,175.0,23016177
04/01/2018,172.54,173.47,172.08,173.03,22211345
03/01/2018,172.53,174.55,171.96,172.23,28819653
02/01/2018,170.16,172.3,169.26,172.26,25048048
29/12/2017,170.52,170.59,169.22,169.23,25643711
28/12/2017,171.0,171.85,170.48,171.08,15997739
27/12/2017,170.1,170.78,169.71,170.6,21672062
26/12/2017,170.8,171.47,169.679,170.57,32968167
22/12/2017,174.68,175.424,174.5,175.01,16052615
21/12/2017,174.17,176.02,174.1,175.01,20356826
20/12/2017,174.87,175.42,173.25,174.35,23000392
19/12/2017,175.03,175.39,174.09,174.54,27078872
18/12/2017,174.88,177.2,174.86,176.42,28831533
15/12/2017,173.63,174.17,172.46,173.87,37054632
14/12/2017,172.4,173.13,171.65,172.22,20219307
13/12/2017,172.5,173.54,172.0,172.27,23142242
12/12/2017,172.15,172.39,171.46099999999998,171.7,18945457
11/12/2017,169.2,172.89,168.79,172.67,33092051
08/12/2017,170.49,171.0,168.82,169.37,23096872
07/12/2017,169.03,170.44,168.91,169.452,24469613
06/12/2017,167.5,170.2047,166.46,169.01,28224357
05/12/2017,169.06,171.52,168.4,169.64,27008428
04/12/2017,172.48,172.62,169.63,169.8,32115052
01/12/2017,169.95,171.67,168.5,171.05,39590080
30/11/2017,170.43,172.14,168.44,171.85,40172368
29/11/2017,172.63,172.92,167.16,169.48,40788324
28/11/2017,174.3,174.87,171.86,173.07,25468442
27/11/2017,175.05,175.08,173.34,174.09,20536313
24/11/2017,175.1,175.5,174.6459,174.97,14026519
22/11/2017,173.36,175.0,173.05,174.96,24997274
